mês,data,cod_filial,cargo,faixa,quantidade,faltaEsperada
2024-05,2024-05-09,2,motorista,till 10,3,1.0
2024-05,2024-05-09,2,motorista,till 8,3,1.0
2024-05,2024-05-09,2,motorista,till 9,3,1.0
2024-05,2024-05-09,2,vigilante,over 10,2,1.854
2024-05,2024-05-09,2,vigilante,till 10,2,1.854
2024-05,2024-05-09,2,vigilante,till 8,2,1.854
2024-05,2024-05-09,2,vigilante,till 9,2,1.854
2024-05,2024-05-09,4,motorista,over 10,11,1.23
2024-05,2024-05-09,4,motorista,till 10,11,1.23
2024-05,2024-05-09,4,motorista,till 8,11,1.23
2024-05,2024-05-09,4,motorista,till 9,11,1.23
2024-05,2024-05-09,4,vigilante,over 10,0,0.0
2024-05,2024-05-09,4,vigilante,till 10,0,0.0
2024-05,2024-05-09,4,vigilante,till 8,0,0.0
2024-05,2024-05-09,4,vigilante,till 9,0,0.0
2024-05,2024-05-10,2,motorista,over 10,3,1.0
2024-05,2024-05-10,2,motorista,till 10,3,1.0
2024-05,2024-05-10,2,motorista,till 8,3,1.0
2024-05,2024-05-10,2,motorista,till 9,3,1.0
2024-05,2024-05-10,2,vigilante,over 10,2,1.866
2024-05,2024-05-10,2,vigilante,till 10,2,1.866
2024-05,2024-05-10,2,vigilante,till 8,2,1.866
2024-05,2024-05-10,2,vigilante,till 9,2,1.866
2024-05,2024-05-10,4,motorista,over 10,11,1.259
2024-05,2024-05-10,4,motorista,till 10,11,1.259
2024-05,2024-05-10,4,motorista,till 8,11,1.259
2024-05,2024-05-10,4,motorista,till 9,11,1.259
2024-05,2024-05-10,4,vigilante,over 10,0,0.0
2024-05,2024-05-10,4,vigilante,till 10,0,0.0
2024-05,2024-05-10,4,vigilante,till 8,0,0.0
2024-05,2024-05-10,4,vigilante,till 9,0,0.0
2024-05,2024-05-13,2,motorista,over 10,3,1.0
2024-05,2024-05-13,2,motorista,till 10,3,1.0
2024-05,2024-05-13,2,motorista,till 8,3,1.0
2024-05,2024-05-13,2,motorista,till 9,3,1.0
2024-05,2024-05-13,2,vigilante,over 10,2,1.854
2024-05,2024-05-13,2,vigilante,till 10,2,1.854
2024-05,2024-05-13,2,vigilante,till 8,2,1.854
2024-05,2024-05-13,2,vigilante,till 9,2,1.854
2024-05,2024-05-13,4,motorista,over 10,11,1.696
2024-05,2024-05-13,4,motorista,till 10,11,1.696
2024-05,2024-05-13,4,motorista,till 8,11,1.696
2024-05,2024-05-13,4,motorista,till 9,11,1.696
2024-05,2024-05-13,4,vigilante,over 10,0,0.0
2024-05,2024-05-13,4,vigilante,till 10,0,0.0
